,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
56,352b16d0-0132-4188-a2bc-0345f2c127a1,Person57,vegan,23,female,yes,1.0,8.680141420721181,50.59395562072118,e0d23073-6a3b-4c4f-8c57-ad7329cb6972,Personx27,21.0,female
57,35f0273f-9b1a-43bf-ab6f-f71d4b12b555,Person58,vegan,27,female,no,,,,,,,
58,375e6c54-1939-4776-b8b1-ccf6e5c9453b,Person59,none,22,female,yes,1.0,8.684555849276553,50.58498324927655,4daa7a5f-a0ba-4801-baa9-9c2ebe2cf5c4,Personx28,24.0,female
59,3773162e-acb3-4187-8c24-ccd5d05548ab,Person60,veggie,23,female,maybe,1.0,8.668144436221954,50.58572953622196,,,,
60,38ab3623-7bc7-45d4-befb-18daa64d716b,Person61,veggie,25,female,yes,3.0,8.67598973297304,50.585041532973044,,,,
61,392807a5-b58d-45ee-9efe-956bdc102fec,Person62,veggie,26,female,no,2.0,,,,,,
62,3a5e1f9c-8984-406f-ad64-ef4d1c421e98,Person63,none,28,male,yes,2.0,8.674098255012767,50.58686865501276,,,,
63,3b452c99-3ac0-4256-86d9-5e5817b78d4d,Person64,veggie,22,female,yes,2.0,8.672532995582184,50.58742299558219,939c05b9-39c7-45b7-93c5-a40372cd0536,Personx29,23.0,female
64,3c1aaaae-13f5-4a32-bc2a-87fa6c1c5136,Person65,veggie,21,female,yes,5.0,8.678955722179989,50.59059052217999,9578aa41-9566-4b8e-9041-f290a3c3dd72,Personx30,19.0,female
65,3f2f0097-afbc-4b28-b29b-c5348c69f587,Person66,veggie,23,female,yes,2.0,8.682005004090913,50.58319270409091,c26e9336-795e-48cd-8ed7-4468256be9b1,Personx31,19.0,female
66,409b99d4-8abd-4e7a-8580-7d15e93f135a,Person67,none,23,male,maybe,1.0,8.67593888164987,50.58044888164987,,,,
67,41795a6c-9d2b-497d-b968-7e9874aff1e5,Person68,vegan,24,female,yes,,8.66915582248653,50.572325822486526,577b238a-8ab1-4711-91fa-4914430a6a27,Personx32,21.0,female
68,41db2a9e-b8a0-4c64-a68f-5028de3933b0,Person69,veggie,22,female,yes,1.0,8.68259769882404,50.58731039882404,730a17cb-894a-48b6-a966-2f8c6540f133,Personx33,25.0,female
69,41e80164-0b95-412e-a1f0-9dd65543e5b0,Person70,veggie,20,female,yes,2.0,8.682240307254789,50.58401170725479,c6d6c825-e3d1-4b16-ba46-34db633d57de,Personx34,19.0,female
70,42799f6e-6859-4f6f-a6aa-06efe274def6,Person71,veggie,19,female,yes,3.0,8.681680738784756,50.58466573878476,c6739e68-6c18-43e7-afd5-e7cc741e45fb,Personx35,19.0,female
71,436052cf-88d7-4ccf-9d1f-21fdeab2cd56,Person72,none,21,male,no,,,,,,,
72,45062ea3-8ca6-4474-b10a-de3a5b1c783b,Person73,none,26,female,no,3.0,,,,,,
73,497a3ba0-68b9-4cac-8f64-fd55bc1f697f,Person74,vegan,21,female,yes,3.0,8.669987238017324,50.585691138017324,cef146c5-6e43-41bf-8d3c-25d3ff264e84,Personx36,21.0,female
74,4a50249a-eb56-4ff4-9169-6b50885909c8,Person75,none,25,male,no,3.0,,,,,,
75,4aa00113-d953-40ca-b74f-3e35e3cf96e1,Person76,veggie,23,female,no,,,,,,,
76,4b1fc518-74c2-4079-8241-eb7a2678ea9c,Person77,none,26,male,yes,3.0,8.676578081971023,50.57886008197102,c8211630-712d-45ee-828c-e604bbed21f5,Personx37,26.0,female
77,4b483623-9c73-4e60-b426-b5e465dbb180,Person78,none,31,male,yes,2.0,8.666914349610986,50.580148849610985,f805021c-e757-48ef-8d10-b8200f111ba1,Personx38,28.0,male
78,4c190578-3a7e-47f0-a197-7cd136e08fc6,Person79,meat,26,male,no,2.0,,,,,,
79,4cc2fc20-7f1a-419e-87ec-147d4ea06e4f,Person80,meat,24,male,no,5.0,,,,,,
80,4daea94b-5422-4aa7-b4b9-7f7245fec23d,Person81,veggie,23,male,yes,4.0,8.68696797205963,50.57840827205963,,,,
81,4e123227-67ea-42f4-8643-304588317bf3,Person82,none,26,female,yes,1.0,8.671401346943897,50.5803595469439,,,,
82,4e30e938-cc67-48d4-9db9-062d83851b5a,Person83,none,22,female,yes,3.0,8.675706226345776,50.59410002634577,c1de4c44-5c61-49b3-a158-51ee0e81ca6b,Personx39,27.0,female
83,4f01e221-e7f0-4d30-9a06-dc08b62fd4fe,Person84,veggie,21,female,yes,1.0,8.682341842315855,50.58123324231586,a280c031-8c82-4ec1-983c-82abb3416baa,Personx40,21.0,female
84,506b57be-d646-4cbc-be05-6c0dde3d56fc,Person85,meat,22,male,no,4.0,,,,,,
85,517e320f-e02f-4fc4-b33e-cb92b42c4c85,Person86,vegan,25,female,yes,3.0,8.669987238017324,50.585691138017324,c2a46458-3ac4-47ae-8f99-d4beba57d937,Personx41,25.0,male
86,535fd731-b093-4483-ba2e-6d565230e073,Person87,none,28,male,maybe,2.0,8.690880762836139,50.59767386283614,,,,
87,537bc5fb-106a-4f03-88ba-c07a5d6f56c5,Person88,none,19,male,yes,,8.675704758682452,50.57915105868245,,,,
88,53b68a43-62e3-4298-8a5c-0d534dcaba37,Person89,veggie,23,male,yes,3.0,8.67304814385841,50.57709814385839,,,,
89,53ed6a31-acb6-427e-ba82-e36fcfecb030,Person90,veggie,23,female,yes,2.0,8.705241939354703,50.58915193935471,,,,
90,546c8976-f26a-4d9c-aec3-5a8fadec876f,Person91,veggie,23,female,yes,3.0,8.674675114778584,50.585729414778584,da25550d-b351-4d21-af08-2b441d51aeb2,Personx42,24.0,female
91,55449e35-96d5-4ff8-8efc-220a74ef257a,Person92,veggie,25,female,yes,1.0,8.679545611822883,50.58921591182288,,,,
92,559ebdd3-ca19-4796-9955-2af716c22f64,Person93,none,24,male,yes,2.0,8.677471387966227,50.57738138796623,dc6704fa-7137-4ba7-9fe8-f49c58a388b1,Personx43,27.0,male
93,55a11558-b2a7-4f06-a933-1d0404bfd4cc,Person94,veggie,25,female,yes,,8.677334512101142,50.584241512101144,c38064c7-8016-4769-8132-08b8c3ccd4d5,Personx44,24.0,female
94,56337011-75e0-4e11-8e08-4ba25238315b,Person95,none,28,male,maybe,3.0,8.66972376389794,50.581443763897944,,,,
95,56d4f735-63f8-4716-b64e-a05b4bba1ba0,Person96,none,21,female,yes,4.0,8.67298543444136,50.58641903444135,,,,
96,56d53664-6b86-4fe0-b83b-739b7d385110,Person97,meat,24,male,no,1.0,,,,,,
97,57c9dc43-6d97-45af-9b22-ad0b508e005b,Person98,none,23,male,yes,3.0,8.674957917295314,50.58590161729532,65a395f5-5448-4030-a223-22a0f4510f52,Personx45,23.0,female
98,589bb2c4-0129-4bf7-aa0b-bfd7068ea2dd,Person99,vegan,21,female,no,1.0,,,,,,
99,58f681a3-4bd7-44c7-b590-000fb6910032,Person100,none,24,male,no,,,,,,,
100,5910bcd1-8674-47a7-93f3-4a17aa671715,Person101,veggie,23,female,no,1.0,,,,,,
101,5aa7e38b-c843-4454-95d0-c3c3e639b4b9,Person102,none,25,female,no,3.0,,,,,,
102,5b523578-f280-4c56-a812-1ea903462e2f,Person103,meat,26,male,yes,1.0,8.667047732873854,50.58279563287387,,,,
103,5beeb7e6-e36d-45c9-8623-dda9cede105a,Person104,veggie,25,male,no,1.0,,,,,,
104,5bf64549-e47b-4211-8e8d-beabda41a63c,Person105,veggie,27,male,no,2.0,,,,,,
105,5e0d33ae-b661-413f-9c9e-03c4d000a9d2,Person106,veggie,22,male,yes,2.0,8.693517538734978,50.587770238734976,604d1113-95a3-4b05-938c-36b67133f041,Personx46,23.0,female
106,5e640d3d-8439-4d15-aa8c-14478ae3d7c5,Person107,veggie,28,female,yes,3.0,8.673384877370186,50.58417547737018,fdde8bd7-30a2-4185-a2df-c275d7c844ea,Personx47,35.0,female
107,60287ff5-33c8-465c-b52a-7ec29efea1e6,Person108,veggie,23,female,no,,,,,,,
108,63719e29-ed27-4d06-ac52-8df8d50a4be0,Person109,veggie,24,male,yes,3.0,8.707162602581494,50.590692602581505,da4bcc0e-cdd5-4766-9795-5ff7b5ba8c12,Personx48,24.0,female
109,63a73fac-f723-4c75-a84e-9c1d246baf80,Person110,none,22,male,no,2.0,,,,,,
110,666abc46-23e1-407f-acb5-2a53517a8cd0,Person111,veggie,21,female,yes,1.0,8.682407402875608,50.58129880287561,,,,
111,677a9945-9ede-47bd-b54f-78b2292f2557,Person112,veggie,25,female,yes,1.0,8.667047732873854,50.58279563287387,,,,
112,68d33413-39d7-4239-82ca-f3f4f23729d4,Person113,none,23,female,no,,,,,,,
113,6a59ed16-ccea-49e1-b0a5-c45f0d321e52,Person114,veggie,24,female,yes,3.0,8.677838956553922,50.59472645655391,a79c8cb5-9a26-4fea-9365-4e17c4b2198d,Personx49,21.0,female
114,6af6d3fe-8cc0-4735-8e4c-93af0b38cd6e,Person115,veggie,24,female,no,3.0,,,,,,
115,6c50be44-23e4-47ab-9c43-222a5a6ea4b8,Person116,veggie,24,female,yes,1.0,8.673298097177828,50.57875489717783,b8bc4de9-280b-42c8-97bf-e93a790873b3,Personx50,24.0,female
